,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,연도/월,1,2,3,4,5,6,7,8,9,10,11,12,합계
1,1951,0,0,0,0,0,0,0,1,1,1,0,0,3
2,1952,0,0,0,0,0,1,1,2,0,0,0,0,4
3,1953,0,0,0,0,1,1,0,1,0,0,0,0,3
4,1954,0,0,0,0,0,0,0,1,2,0,0,0,3
5,1955,0,0,0,0,0,0,2,0,1,0,0,0,3
6,1956,0,0,0,0,0,0,0,2,2,0,0,0,4
7,1957,0,0,0,0,0,1,0,1,0,0,0,0,2
8,1958,0,0,0,0,0,0,0,1,0,0,0,0,1
9,1959,0,0,0,0,0,0,2,2,3,0,0,0,7
10,1960,0,0,0,0,0,0,1,2,0,0,0,0,3
11,1961,0,0,0,0,1,1,1,0,2,0,0,0,5
12,1962,0,0,0,0,0,0,2,2,0,0,0,0,4
13,1963,0,0,0,0,0,2,1,0,0,0,0,0,3
14,1964,0,0,0,0,0,0,4,0,0,0,0,0,4
15,1965,0,0,0,0,0,0,2,1,0,0,0,0,3
16,1966,0,0,0,0,0,0,0,3,0,0,0,0,3
17,1967,0,0,0,0,0,0,1,0,0,0,0,0,1
18,1968,0,0,0,0,0,0,1,1,1,0,0,0,3
19,1969,0,0,0,0,0,0,0,0,1,0,0,0,1
20,1970,0,0,0,0,0,1,1,2,0,0,0,0,4
21,1971,0,0,0,0,0,0,1,1,1,0,0,0,3
22,1972,0,0,0,0,0,0,2,1,1,0,0,0,4
23,1973,0,0,0,0,0,0,2,1,0,0,0,0,3
24,1974,0,0,0,0,0,1,1,1,0,0,0,0,3
25,1975,0,0,0,0,0,0,1,1,0,0,0,0,2
26,1976,0,0,0,0,0,0,3,2,1,0,0,0,6
27,1977,0,0,0,0,0,0,0,1,1,0,0,0,2
28,1978,0,0,0,0,0,1,1,1,1,0,0,0,4
29,1979,0,0,0,0,0,0,0,2,0,0,0,0,2
30,1980,0,0,0,0,0,0,1,1,1,0,0,0,3
31,1981,0,0,0,0,0,2,1,1,1,0,0,0,5
32,1982,0,0,0,0,0,0,1,2,1,0,0,0,4
33,1983,0,0,0,0,0,0,0,0,1,0,0,0,1
34,1984,0,0,0,0,0,0,1,2,0,0,0,0,3
35,1985,0,0,0,0,0,1,0,3,1,0,0,0,5
36,1986,0,0,0,0,0,1,0,1,1,0,0,0,3
37,1987,0,0,0,0,0,0,2,1,0,0,0,0,3
38,1988,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1989,0,0,0,0,0,1,1,0,0,0,0,0,2
40,1990,0,0,0,0,0,1,1,1,1,0,0,0,4
41,1991,0,0,0,0,0,0,1,2,2,0,0,0,5
42,1992,0,0,0,0,0,0,0,1,1,0,0,0,2
43,1993,0,0,0,0,0,0,2,2,0,0,0,0,4
44,1994,0,0,0,0,0,0,2,2,0,1,0,0,5
45,1995,0,0,0,0,0,0,1,1,1,0,0,0,3
46,1996,0,0,0,0,0,0,1,1,0,0,0,0,2
47,1997,0,0,0,0,0,1,2,0,1,0,0,0,4
48,1998,0,0,0,0,0,0,0,0,1,1,0,0,2
49,1999,0,0,0,0,0,0,2,1,2,0,0,0,5
50,2000,0,0,0,0,0,0,2,2,1,0,0,0,5
51,2001,0,0,0,0,0,0,0,1,0,0,0,0,1
52,2002,0,0,0,0,0,1,2,1,0,0,0,0,4
53,2003,0,0,0,0,1,1,0,1,1,0,0,0,4
54,2004,0,0,0,0,0,1,1,3,0,0,0,0,5
55,2005,0,0,0,0,0,0,0,1,0,0,0,0,1
56,2006,0,0,0,0,0,0,1,1,1,0,0,0,3
57,2007,0,0,0,0,0,0,2,0,1,0,0,0,3
58,2008,0,0,0,0,0,0,1,0,0,0,0,0,1
59,2009,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2010,0,0,0,0,0,0,0,2,1,0,0,0,3
61,2011,0,0,0,0,0,1,1,1,0,0,0,0,3
62,2012,0,0,0,0,0,0,2,2,1,0,0,0,5
63,2013,0,0,0,0,0,1,0,1,0,1,0,0,3
64,2014,0,0,0,0,0,0,3,0,0,1,0,0,4
65,2015,0,0,0,0,0,1,2,1,0,0,0,0,4
66,2016,0,0,0,0,0,0,0,0,2,0,0,0,2
67,2017,0,0,0,0,0,0,2,0,1,0,0,0,3
68,2018,0,0,0,0,0,1,0,2,2,0,0,0,5
69,2019,0,0,0,0,0,0,1,3,3,0,0,0,7
70,2020,0,0,0,0,0,0,0,3,1,0,0,0,4
71,2021,0,0,0,0,0,0,0,2,1,0,0,0,3
72,2022,0,0,0,0,0,0,3,1,1,0,0,0,5
73,30년평균1991-2020,0,0,0,0,0,0.3,1.0,1.2,0.8,0.1,0,0,3.4
74,10년평균2011-2020,0,0,0,0,0,0.4,1.1,1.3,1.0,0.2,0,0,4.0
