연도,실제
2023년 12월,6.60%
2023년 11월,4.60%
2023년 10월,4.50%
2023년 09월,4.50%
2023년 08월,3.70%
2023년 07월,4.40%
2023년 06월,3.50%
2023년 05월,5.60%
2023년 04월,3.90%
2023년 03월,2.40%
2023년 01월,1.30%
2022년 12월,2.20%
2022년 11월,5.00%
2022년 10월,6.30%
2022년 09월,4.20%
2022년 08월,3.80%
2022년 07월,3.90%
2022년 06월,0.70%
2022년 05월,-2.90%
2022년 04월,5.00%
2022년 03월,7.50%
2022년 01월,4.30%
2021년 12월,3.80%
2021년 11월,3.50%
2021년 10월,3.10%
2021년 09월,5.30%
2021년 08월,6.40%
2021년 07월,8.30%
2021년 06월,8.80%
2021년 05월,9.80%
2021년 04월,14.10%
2021년 03월,35.10%
2021년 01월,7.30%
2020년 12월,7.00%
2020년 11월,6.90%
2020년 10월,6.90%
2020년 09월,5.60%
2020년 08월,4.80%
2020년 07월,4.80%
2020년 06월,4.40%
2020년 05월,3.90%
2020년 04월,-1.10%
2020년 03월,-13.50%
2020년 01월,6.90%
2019년 12월,6.20%
2019년 11월,4.70%
2019년 10월,5.80%
2019년 09월,4.40%
2019년 08월,4.80%
2019년 07월,6.30%
2019년 06월,5.00%
2019년 05월,5.40%
2019년 05월,5.40%
2019년 04월,8.50%
2019년 03월,5.30%
2019년 01월,5.70%
2018년 12월,5.40%
2018년 11월,5.90%
2018년 10월,5.80%
2018년 09월,6.10%
2018년 08월,6.00%
2018년 07월,6.00%
2018년 06월,6.80%
2018년 05월,7.00%
2018년 04월,6.00%
2018년 03월,7.20%
2018년 01월,6.20%
2017년 12월,6.10%
2017년 11월,6.20%
2017년 10월,6.60%
2017년 09월,6.00%
2017년 08월,6.40%
2017년 07월,7.60%
2017년 06월,6.50%
2017년 05월,6.50%
2017년 04월,7.60%
2017년 03월,6.30%
2017년 01월,6.00%
2016년 12월,6.20%
2016년 11월,6.10%
2016년 10월,6.10%
2016년 09월,6.30%
2016년 08월,6.00%
2016년 07월,6.20%
2016년 06월,6.00%
2016년 05월,6.00%
2016년 04월,6.80%
2016년 03월,5.40%
2016년 01월,5.90%
2015년 12월,6.20%
2015년 11월,5.60%
2015년 10월,5.70%
2015년 09월,6.10%
2015년 08월,6.00%
2015년 07월,6.80%
2015년 06월,6.10%
2015년 05월,5.90%
2015년 04월,5.60%
2015년 03월,6.80%
2015년 01월,7.90%
2014년 12월,7.20%
2014년 11월,7.70%
2014년 10월,8.00%
2014년 9월,6.90%
2014년 8월,9.00%
2014년 7월,9.20%
2014년 6월,8.80%
2014년 5월,8.70%
2014년 4월,8.80%
2014년 3월,8.60%
2014년 1월,9.70%
2013년 12월,10.00%
2013년 11월,10.30%
2013년 10월,10.20%
2013년 9월,10.40%
2013년 8월,9.70%
2013년 7월,8.90%
2013년 6월,9.20%
2013년 5월,9.30%
2013년 4월,8.90%
2013년 3월,9.90%
2013년 1월,10.30%
2012년 12월,10.10%
2012년 11월,9.60%
2012년 10월,9.20%
2012년 9월,8.90%
2012년 8월,9.20%
2012년 7월,9.50%
2012년 6월,9.60%
2012년 5월,9.30%
2012년 4월,11.90%
2012년 3월,11.40%
