,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,연도/월,1,2,3,4,5,6,7,8,9,10,11,12,합계
1,1951,,1,1,2,1,1,3,3,2,4,1,2,21
2,1952,,,,,,3,3,5,3,6,3,4,27
3,1953,,1,,,1,2,1,6,3,5,3,1,23
4,1954,,,1,,1,,1,5,5,4,3,1,21
5,1955,1,1,1,1,,2,7,6,4,3,1,1,28
6,1956,,,1,2,,1,2,5,6,1,4,1,23
7,1957,2,,,1,1,1,1,4,5,4,3,,22
8,1958,1,,,1,1,4,7,5,5,3,2,2,31
9,1959,,1,1,1,,,2,5,5,4,2,2,23
10,1960,,,,1,1,3,3,10,3,4,1,1,27
11,1961,1,,1,,2,3,4,6,6,4,1,1,29
12,1962,,1,,1,2,,5,8,4,5,3,1,30
13,1963,,,,1,,4,4,3,5,4,,3,24
14,1964,,,,,2,2,7,5,6,5,6,1,34
15,1965,2,1,1,1,2,3,5,5,8,2,2,,32
16,1966,,,,1,2,1,4,10,9,4,3,1,35
17,1967,,1,2,1,1,1,7,9,9,4,3,1,39
18,1968,,,,1,1,1,3,8,3,5,5,,27
19,1969,1,,1,1,,,3,4,3,3,2,1,19
20,1970,,1,,,,2,3,6,5,5,4,,26
21,1971,1,,1,3,4,2,8,5,6,4,2,,36
22,1972,1,,,,1,3,6,5,5,5,3,2,31
23,1973,,,,,,,7,5,2,4,3,,21
24,1974,1,,1,1,1,4,4,5,5,4,4,2,32
25,1975,1,,,,,,2,4,5,5,3,1,21
26,1976,1,1,,2,2,2,4,4,5,1,1,2,25
27,1977,,,1,,,1,3,3,5,5,1,2,21
28,1978,1,,,1,,3,4,8,5,4,4,,30
29,1979,1,,1,1,2,,4,2,6,3,2,2,24
30,1980,,,,1,4,1,4,2,6,4,1,1,24
31,1981,,,1,2,,3,4,8,4,2,3,2,29
32,1982,,,3,,1,3,3,5,5,3,1,1,25
33,1983,,,,,,1,3,5,2,5,5,2,23
34,1984,,,,,,2,5,5,4,7,3,1,27
35,1985,2,,,,1,3,1,8,5,4,1,2,27
36,1986,,1,,1,2,2,3,5,3,5,4,3,29
37,1987,1,,,1,,2,4,4,6,2,2,1,23
38,1988,1,,,,1,3,2,8,8,5,2,1,31
39,1989,1,,,1,2,2,7,5,6,4,3,1,32
40,1990,1,,,1,1,3,4,6,4,4,4,1,29
41,1991,,,2,1,1,1,4,5,6,3,6,,29
42,1992,1,1,,,,2,4,8,5,7,3,,31
43,1993,,,1,,,1,4,7,5,5,2,3,28
44,1994,,,,1,1,2,7,9,8,6,,2,36
45,1995,,,,1,,1,2,6,5,6,1,1,23
46,1996,,1,,1,2,,5,6,6,2,2,1,26
47,1997,,,,2,3,3,4,6,4,3,2,1,28
48,1998,,,,,,,1,3,5,2,3,2,16
49,1999,,,,2,,1,4,6,6,2,1,,22
50,2000,,,,,2,,5,6,5,2,2,1,23
51,2001,,,,,1,2,5,6,5,3,1,3,26
52,2002,1,1,,,1,3,5,6,4,2,2,1,26
53,2003,1,,,1,2,2,2,5,3,3,2,,21
54,2004,,,,1,2,5,2,8,3,3,3,2,29
55,2005,1,,1,1,,1,5,5,5,2,2,,23
56,2006,,,,,1,1,3,7,3,4,2,2,23
57,2007,,,,1,1,,3,4,5,6,4,,24
58,2008,,,,1,4,1,2,4,5,1,3,1,22
59,2009,,,,,2,2,2,5,7,3,1,,22
60,2010,,,1,,,,2,5,4,2,,,14
61,2011,,,,,2,3,4,3,7,1,,1,21
62,2012,,,1,,1,4,4,5,3,5,1,1,25
63,2013,1,1,,,,4,3,6,8,6,2,,31
64,2014,2,1,,2,,2,5,1,5,2,1,2,23
65,2015,1,1,2,1,2,2,4,3,5,4,1,1,27
66,2016,,,,,,,4,7,7,4,3,1,26
67,2017,,,,1,,1,8,5,4,3,3,2,27
68,2018,1,1,1,,,4,5,9,4,1,3,,29
69,2019,1,1,,,,1,4,5,6,4,6,1,29
70,2020,,,,,1,1,,7,4,7,2,1,23
71,2021,,1,,1,1,2,3,4,4,4,1,1,22
72,2022,,,,2,,1,3,5,7,5,1,1,25
73,30년평균1991-2020,0.3,0.3,0.3,0.6,1.0,1.7,3.7,5.6,5.1,3.5,2.1,1.0,25.1
74,10년평균2011-2020,0.6,0.5,0.4,0.4,0.6,2.2,4.1,5.1,5.3,3.7,2.2,1.0,26.1
