,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,연도/월,1,2,3,4,5,6,7,8,9,10,11,12,합계
1,1951,,1,1,2,1,1,3,3(1),2(1),4(1),1,2,21(3)
2,1952,,,,,,3(1),3(1),5(2),3,6,3,4,27(4)
3,1953,,1,,,1(1),2(1),1,6(1),3,5,3,1,23(3)
4,1954,,,1,,1,,1,5(1),5(2),4,3,1,21(3)
5,1955,1,1,1,1,,2,7(2),6,4(1),3,1,1,28(3)
6,1956,,,1,2,,1,2,5(2),6(2),1,4,1,23(4)
7,1957,2,,,1,1,1(1),1,4(1),5,4,3,,22(2)
8,1958,1,,,1,1,4,7,5(1),5,3,2,2,31(1)
9,1959,,1,1,1,,,2(2),5(2),5(3),4,2,2,23(7)
10,1960,,,,1,1,3,3(1),10(2),3,4,1,1,27(3)
11,1961,1,,1,,2(1),3(1),4(1),6,6(2),4,1,1,29(5)
12,1962,,1,,1,2,,5(2),8(2),4,5,3,1,30(4)
13,1963,,,,1,,4(2),4(1),3,5,4,,3,24(3)
14,1964,,,,,2,2,7(4),5,6,5,6,1,34(4)
15,1965,2,1,1,1,2,3,5(2),5(1),8,2,2,,32(3)
16,1966,,,,1,2,1,4,10(3),9,4,3,1,35(3)
17,1967,,1,2,1,1,1,7(1),9,9,4,3,1,39(1)
18,1968,,,,1,1,1,3(1),8(1),3(1),5,5,,27(3)
19,1969,1,,1,1,,,3,4,3(1),3,2,1,19(1)
20,1970,,1,,,,2(1),3(1),6(2),5,5,4,,26(4)
21,1971,1,,1,3,4,2,8(1),5(1),6(1),4,2,,36(3)
22,1972,1,,,,1,3,6(2),5(1),5(1),5,3,2,31(4)
23,1973,,,,,,,7(2),5(1),2,4,3,,21(3)
24,1974,1,,1,1,1,4(1),4(1),5(1),5,4,4,2,32(3)
25,1975,1,,,,,,2(1),4(1),5,5,3,1,21(2)
26,1976,1,1,,2,2,2,4(3),4(2),5(1),1,1,2,25(6)
27,1977,,,1,,,1,3,3(1),5(1),5,1,2,21(2)
28,1978,1,,,1,,3(1),4(1),8(1),5(1),4,4,,30(4)
29,1979,1,,1,1,2,,4,2(2),6,3,2,2,24(2)
30,1980,,,,1,4,1,4(1),2(1),6(1),4,1,1,24(3)
31,1981,,,1,2,,3(2),4(1),8(1),4(1),2,3,2,29(5)
32,1982,,,3,,1,3,3(1),5(2),5(1),3,1,1,25(4)
33,1983,,,,,,1,3,5,2(1),5,5,2,23(1)
34,1984,,,,,,2,5(1),5(2),4,7,3,1,27(3)
35,1985,2,,,,1,3(1),1,8(3),5(1),4,1,2,27(5)
36,1986,,1,,1,2,2(1),3,5(1),3(1),5,4,3,29(3)
37,1987,1,,,1,,2,4(2),4(1),6,2,2,1,23(3)
38,1988,1,,,,1,3,2,8,8,5,2,1,31(0)
39,1989,1,,,1,2,2(1),7(1),5,6,4,3,1,32(2)
40,1990,1,,,1,1,3(1),4(1),6(1),4(1),4,4,1,29(4)
41,1991,,,2,1,1,1,4(1),5(2),6(2),3,6,,29(5)
42,1992,1,1,,,,2,4,8(1),5(1),7,3,,31(2)
43,1993,,,1,,,1,4(2),7(2),5,5,2,3,28(4)
44,1994,,,,1,1,2,7(2),9(2),8,6(1),,2,36(5)
45,1995,,,,1,,1,2(1),6(1),5(1),6,1,1,23(3)
46,1996,,1,,1,2,,5(1),6(1),6,2,2,1,26(2)
47,1997,,,,2,3,3(1),4(2),6,4(1),3,2,1,28(4)
48,1998,,,,,,,1,3,5(1),2(1),3,2,16(2)
49,1999,,,,2,,1,4(2),6(1),6(2),2,1,,22(5)
50,2000,,,,,2,,5(2),6(2),5(1),2,2,1,23(5)
51,2001,,,,,1,2,5,6(1),5,3,1,3,26(1)
52,2002,1,1,,,1,3(1),5(2),6(1),4,2,2,1,26(4)
53,2003,1,,,1,2(1),2(1),2,5(1),3(1),3,2,,21(4)
54,2004,,,,1,2,5(1),2(1),8(3),3,3,3,2,29(5)
55,2005,1,,1,1,,1,5,5(1),5,2,2,,23(1)
56,2006,,,,,1,1,3(1),7(1),3(1),4,2,2,23(3)
57,2007,,,,1,1,,3(2),4,5(1),6,4,,24(3)
58,2008,,,,1,4,1,2(1),4,5,1,3,1,22(1)
59,2009,,,,,2,2,2,5,7,3,1,,22(0)
60,2010,,,1,,,,2,5(2),4(1),2,,,14(3)
61,2011,,,,,2,3(1),4(1),3(1),7,1,,1,21(3)
62,2012,,,1,,1,4,4(2),5(2),3(1),5,1,1,25(5)
63,2013,1,1,,,,4(1),3,6(1),8,6(1),2,,31(3)
64,2014,2,1,,2,,2,5(3),1,5,2(1),1,2,23(4)
65,2015,1,1,2,1,2,2(1),4(2),3(1),5,4,1,1,27(4)
66,2016,,,,,,,4,7,7(2),4,3,1,26(2)
67,2017,,,,1,,1,8(2),5,4(1),3,3,2,27(3)
68,2018,1,1,1,,,4(1),5,9(2),4(2),1,3,,29(5)
69,2019,1,1,,,,1,4(1),5(3),6(3),4,6,1,29(7)
70,2020,,,,,1,1,,7(3),4(1),7,2,1,23(4)
71,2021,,1,,1,1,2,3,4(2),4(1),4,1,1,22(3)
72,2022,,,,2,,1,3(3),5(1),7(1),5,1,1,25(5)
73,30년평균1991-2020,0.3,0.3,0.3,0.6,1.0,1.7(0.3),3.7(1.0),5.6(1.2),5.1(0.8),3.5(0.1),2.1,1.0,25.1(3.4)
74,10년평균2011-2020,0.6,0.5,0.4,0.4,0.6,2.2(0.4),4.1(1.1),5.1(1.3),5.3(1.0),3.7(0.2),2.2,1.0,26.1(4.0)
